question,option_1,option_2,option_3,option_4,correct_answer,explanation,question_type
"រ ខា 2 -- នរា27
គណនាលីមីត បំ គប ?
$$\lim_{x \to 0} \frac { \tan x - \sin x } { x ^ { 3 } }$$",\frac{2}{2},\frac{0}{2},-\frac{1}{2},\frac{1}{2},\frac{1}{2},"បំប្លែងជា

5 7 -- 082) _,1.1/2.1=
រ ០០82",multiple_choice
"រ នរ 2
គណនាលីមីត ៤ 25 ?
$$\lim _ { x \rightarrow \infty } \frac { \sin ^ { 2 } x } { x ^ { 2 } } ?$$",1,-1,0,2,0,"តាមទ្រឹស្តីបទញៀប

នារ 2 1
7 <

< -7 ព =-=-
0 < 2? ។ នាំឱ្យលមត

ស្មើ 0។",multiple_choice
".  #រាញ-- នាយ
កី វី យា ------- 2
គណនាលមត 2-*& 2 -- @ ?
$$\lim _ { x \rightarrow a } \frac { \sin x - \sin a } { x - a } ?$$",\sin a,-\cos a,1,\cos a,\cos a,"តាមនិយមន័យដេរីវេនៃ #12 ត្រង់ @
ស្មើនឹង %08៣។

យ",multiple_choice
"គណនាលីមីត ,[25រ៉ (1/2) >
\lim_{x\to\infty} x \sin \left(\frac{1}{x}\right) ?",1,2,0,-1,1,"តាង ៤ = 1//2 -» 0 នាំឱ្យបាន

. នា
រា = 1
៕-»%) 4 ។",multiple_choice
\lim_{x\to0}(1-2x)^{1/x},e^{-3},e^{-2},e^{-1},-e^{-2},e^{-2},"រូបមន្ត (1 - យ"" -» 8 ដែល
ឬ = --22 នាំឱ្យបាន

[(1 -- 22)1/ ”2<]--2 _› 6” ។",multiple_choice
"៩? -- 1
==_ ហា ----
គណនាលមិត +-% +/2 - 1 -- 1 ?
$$\lim _ { x \to 0 } \frac { e ^ { x } - 1 } { \sqrt { x + 1 } - 1 } ?$$",3,1,2,4,2,"គុណកន្សោមឆ្លាស់បាន
(2 -- 1)(+/2 - 1 -|1) _ 4 --1
ហា

ហ៍

។",multiple_choice
"ក 2» គ
គណនាលីមីត ៤ “7 ?
$$\lim _ { x \rightarrow \infty } \frac { 2 ^ { x + 1 } + 5 } { 2 ^ { x } - 3 } ?$$",3,1,4,2,2,"ទាញ 2» ជាកត្តាបាន

2»(2 52"")  2+0 _
27033 110 ”?។",multiple_choice
$$\lim _ { x \to 0 } e ^ { \frac { x ^ { 2 } + 2 x } { x } }$$,e^{2},e^{3},e^{1},-e^{2},e^{2},"សម្រួលស្វ័យគុណបាន ស»+3។ ត្រង់
៩2។

ច ៤

= 0 លីមីត",multiple_choice
"== ក ខន
គណនាលីមីត ឃុ, < ៩ ' 2 (កែតម្រូវ

2 -› 0)
$$\lim _ { x \to 0 ^ { + } } x ^ { 2 } e ^ { 1 / x } ? \text { (ใก๊ดใยร์ } x \to 0 ^ { - } )$$",1,0,-1,2,0,,multiple_choice
"រ ៩? _ 1
គណនាលីមីត ..៕ 25 ?
$$\lim _ { x \to 0 } \frac { e ^ { x ^ { 2 } } - 1 } { x ^ { 2 } }$$",2,0,1,-1,1,"តាង ៤ = 2?។ កាលណា 2 -» 0

នោះ 4 -› 0។ នាំឱ្យបាន

. @៤--1
រ ង = .|",multiple_choice
"ខែល 2 _

គណនាលីមីត ឃុ
$$\lim _ { x \to 0 } \frac { e ^ { \tan x } - 1 } { x }$$",2,0,-1,1,1,"បំបែកជា

,ខោ2 _ 1] 1
៩ 1+.យ2 ,1.1=1

ខោ 2 -",multiple_choice
"1/2:
គណនាលីមីត ២ / ?
$$\lim _ { x \rightarrow \infty } e ^ { 1 / x }$$",1,2,0,-1,1,"កាលណា 2 - 2 នោះ 1/2 -» 0
នាំឱ្យបាន 0 = 1។",multiple_choice
"កី 22
គណនាលីមីត , (1 “ 2)
\lim_{x\to\infty}\left(1-\frac{2}{x}\right)^{-x}",e^3,e^2,e^1,-e^2,e^2,"យ ស
តាមរូបមន្ត (។ "" ៗ)  “? %  ។ ក្នុង
ករណីនេះ ៤ = --2,0 = --1 នាំឱ្យ

បាន 6?។",multiple_choice
"== រ្ប វ"" 1
គណនាលីមីត ‹%៕ 1 ?
$$\lim_{x \to 0} \frac{2^{x} - 1}{3^{x} - 1}$$",\frac{\ln 3}{\ln 3},\frac{\ln 1}{\ln 3},\frac{\ln 2}{\ln 3},-\frac{\ln 2}{\ln 3},\frac{\ln 2}{\ln 3},,multiple_choice
"្ប (1 -2)
គណនាលីមីត ប 02  ?
$$\lim _ { x \to 0 } \frac { \ln ( 1 + x ) } { \sin x }$$",2,0,-1,1,1,"បំបែកជា

(1
(1 2)  _=_ _,].1=1
ន នរ 2 ។",multiple_choice
"៕ (1 -។- 22)
]រា “7”
គណនាលីមីត + % ៕ 0082 ?
$$\lim_{x \to 0} \frac { \ln ( 1 + x ^ { 2 } ) } { 1 - \cos x } ?$$",2,3,1,4,2,"បំបែកជា

1 (1 -។ 23) ញា

.- ” 1.
= 1 -- 0082",multiple_choice
"គណនាលីមីត

រា [២ (22 - 1) -- ២2] +

ន--»20
$$\lim _ { x \rightarrow \infty } \left[ \ln ( 2 x + 1 ) - \ln x \right] ?$$",2,1,0,-1,1,"តាមលក្ខណៈឡការីត
22 ។ 1

]]

) = ២(2 - 12) -» ២
។",multiple_choice
"៤ ៕ឃា(1--2- 22)
គណនាលីមីត .:៕ គ ?
$$\lim _ { x \to 0 } \frac { \ln ( 1 + x + x ^ { 2 } ) } { x }$$",2,0,1,-1,1,"បំបែកជា

(1 - (2--22)) 222
2 -។- 2? យ

--› 1",multiple_choice
"] (2 - 1)
គណនាលីមីត ៤ “៣ ?
$$\lim _ { x \rightarrow \infty } \frac { \ln ( x + 1 ) } { \ln x }$$",2,0,-1,1,1,"៕ |2៣(1 - 1/2)] _ ២2២៥៤ -។
បាល ក្តី បាល

។",multiple_choice
"ុ ៕(1-2?)
ស រា
គណនាលីមីត +-% ខា (2?) ?
$$\lim _ { x \to 0 } \frac { \ln ( 1 + x ^ { 2 } ) } { \tan ( x ^ { 2 } ) }$$",1,2,0,-1,1,"បំបែកជា

យ (។ -| 22)

2

ញា

-»1.1=-",multiple_choice
"ឬ ហា ៕( ខយ 2) _
គណនាលមត +-+7/2
$$\lim _ { x \to \pi / 2 } \ln ( \sin x )$$",1,0,-1,2,0,"ដំណោះស្រាយ

កាលណា 2 - 7/2 នោះ

នរំ 2 -» 1 នាំឱ្យបាន ២1 = 0។",multiple_choice
"] យ (1 -- 22)
គណនាលីមីត + 1 05 (22) ?
$$\lim _ { x \to 0 } \frac { \ln ( 1 + x ^ { 2 } ) } { 1 - \cos ( 2 x ) } ?$$",\frac{2}{2},\frac{0}{2},\frac{1}{2},-\frac{1}{2},\frac{1}{2},"បំបែកជា

៕ា (1 -- 22) 3
ក 1 -- 00822 ។

1 -- 0082,
0822 _

ដោយសារ 25 នាំឱ្យ

លទ្ធផលគឺ 1 . 1/2 = 1/2។",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

ខេ 2 -- (1 + 3) ខោ 2 - +

1, =]
2 នរំ 2 -- ,/3 (08 2
L = \lim_{x \to \frac{\pi}{3}} \frac{\tan^{2} x - (1 + \sqrt{3}) \tan x + \sqrt{3}}{\sin x - \sqrt{3} \cos x}",\frac{3(3 - \sqrt{3})}{3},\frac{1(3 - \sqrt{3})}{3},-\frac{2(3 - \sqrt{3})}{3},\frac{2(3 - \sqrt{3})}{3},\frac{2(3 - \sqrt{3})}{3},"0
មានរាងមិនកំណត់ 0

យើងបាន

ខែ 2 (1 + ម) ខែ 2 + 3

រា ក
ថៃ នរ 2 -- +: 08 2
ុ ខែា$2 -- ខោ2 -- ‹ខីខោ2 -
យា ង ក
2 នរំ 2 -- + (០8 2
 (ខែរាវ2-- ខោ2) -- (+3ខោា2 -- ៩)
= រា ៈ
រ នា 2
082
ុ ខោ2(ខោ2 -- 1) -- +ខ(ខោ2 -- 1)
= រា ៈ
នរ 2
082 ។/
082
: (ខោ2--1)(ស8ា2 -- +3)
យា
(08 2(ខេល 2 -- +3)
ខោ2 -- 1
រា
ជ 08 2
3 -- 1
។/
2",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

ុ ខោះ2--3ខោ2 - 2
។, = បា -------------------”
រុំ នាា2 -- 0082
L = \lim_{x \to \frac{\pi}{4}} \frac{\tan^{2} x - 3 \tan x + 2}{\sin x - \cos x}",-\sqrt{2},-\sqrt{3},-\sqrt{1},\sqrt{2},-\sqrt{2},"ខោ -- 3ខោ2 - 2
2-+រ 2 -- 0082

(ខេល2 -- 1)(ខេល2 -- 2)
+ (082(ខោ2 -- 1)

ខែា2 -- 2
2, 0082",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖
L = \lim_{x \to \frac{\pi}{4}} \frac{\cos 2x}{\cos^3 x - \sin^3 x}",\frac{3\sqrt{2}}{3},\frac{2\sqrt{2}}{3},\frac{1\sqrt{2}}{3},-\frac{2\sqrt{2}}{3},\frac{2\sqrt{2}}{3},"0
រាងមិនកំណត់ 0

យើងបាន

នរ 2)(៤០# 2 -!- នរ 2)

00822 ។ ន 2)

0082--81ា2
រា ក
31-។5រា20082",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

ុ 400822--1
1, =] --------- ៗ
2» នរំា2 -- នរ 22
L = \lim_{x \to \frac{\pi}{3}} \frac{4 \cos^2 x - 1}{\sin x - \sin 2x}",-\frac{5\sqrt{3}}{3},-\frac{3\sqrt{3}}{3},-\frac{4\sqrt{3}}{3},\frac{4\sqrt{3}}{3},-\frac{4\sqrt{3}}{3},"0
ក

យើងបាន
1
យា
ុ (20082 --1)(20082 - 1)
= ២ ---------ៗ-:
+ នា 2 -- 2ន2
: (20082 -1)(20082 -- 1)
= ២ ------- ៗ”
រ នរ 2(1
យ 2៩០៩៣ 1
នរ 2
1 +1
43
3",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖
L = \lim_{x \to \frac{\pi}{4}} \frac{1 - \tan^3 x}{\cos 2x}",4,2,6,3,3,"0
ក

យើងបាន

1 -- ខោ 2

របា យ.

4 05 2:
ក 1 -- ខោ 2

=] -_ រយ.
2-+៖ 008? 2 -- យ 2
ក 1 -- ខោ 2
រយ -_ ៗ ក
025 2 ខោ 2)

: (1-ខោ2)(1-។ខេោា2 - ខោ 2)
យា -----ៗ-- “7
រ 05” 2(1 -- ខោ2)(1 -- ខោ2)
1 -- ខោ2 -- ខោ 2

យា កី
+» (05 2(1 - ខោ2)

1 1",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

ហី 08 32
1, = យា =:
2»: 0082 -- នា 22
L = \lim_{x \to \frac{\pi}{6}} \frac{\cos 3x}{\cos x - \sin 2x}",2,3,1,4,2,"0
រាងមិនកំណត់ 0

យើងបាន

ក 085 32
យា ក
+» (082 -- 8 22

ក 4 (08 2 -- 30082

រា ក

+» (082 -- 282 0082
ព 08 2(4 008? 2 -- 3)
រា ៈ
រ 08 2(1 -- 28២2)
4(1 -- #៕២ 2) -- 3

1 -- 28រ៉ា2

= | ២

1482
យា ដី
+ 1-- 282
: (1-2812)(1- 282)
= ២  :ៈ
រ 1 -- 28រ៉ា2

= ២ (1 + 28រា2)

គ",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖
$$L = \lim _ { x \rightarrow \frac { \pi } { 4 } } \frac { \sin x - \cos x } { 1 - \tan ^ { 3 } x }$$",-\frac{\sqrt{3}}{6},-\frac{\sqrt{2}}{6},-\frac{\sqrt{1}}{6},\frac{\sqrt{2}}{6},-\frac{\sqrt{2}}{6},"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន

ុ  #ាា2 -- 0082
ន ក
1--ខោៈ 2

(08 2(សខេា 2 -- 1)

= រា
ម្រ
កី 062(1 -- ខោ2)
= -- |] ក
+ (1 -- ខោ2)(1 -+ ខែា2 - ខៅ 2)
ក 082
យា

1 + ខោ2 - យៅ 2",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

1 -- 00522
1, =] 53
4 នរ 2 - នរ 2
L = \lim_{x \to 0} \frac{1 - \cos 2x}{\sin^2 x + \sin^3 x}",3,1,2,4,2,"0
លីមីតមានរាងមិនកំណត់ 0
យើងបាន

កី 1 -- 00522
យុ ---ៗ-- ៗ”
2) នរ 2 -- #រ 2

28? 2

=:
+ នរ 2(1 -/- នា 2)

ក 2
= ២ -
+ 1 -| រាន

ស
170

= 2",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖
L = \lim_{x \to \frac{\pi}{3}} \frac{3 - 4 \sin^2 x}{2 \cos x - 1}",3,1,4,2,2,"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន

(20082 -- 1)(20082

រា

20082 -- 1

ឃា (2 0082 - 1)

ស

1)",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

2222 --នរាវំ2
។, = ”---------------
-%) (052 2 -- 1
L = \lim_{x \to 0} \frac{2x - x^2 - \sin^2 x}{\cos x + x - 1}",2,3,1,4,2,,multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

08 2 -- នរ 27

1, = -។
យ 40085” 2 -- 3
L = \lim_{x \to \frac{\pi}{6}} \frac{\cos x - \sin 2x}{4 \cos^2 x - 3}",\frac{\sqrt{4}}{4},\frac{\sqrt{3}}{4},\frac{\sqrt{2}}{4},-\frac{\sqrt{3}}{4},\frac{\sqrt{3}}{4},"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន

ុ 0052 --8122
យា

4008 2 -- 3

ុ 002--28យា20082
យា គី ក
2 4(1 -- #1 2) -- 3
082(1 -- 282)

រា ៗ
1 -- 4#រា 2

:% ៣2៣",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

ុ 0052 -- 25
1, = ឈុ រ:
2-% 2 2
L = \lim_{x \to 0} \frac{\cos x - \sqrt{x^2 + 1}}{x^2 + \sin^2 x}",-\frac{2}{2},-\frac{0}{2},-\frac{1}{2},\frac{1}{2},-\frac{1}{2},"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន

= យ 00532 = 2៦ = កកា

2 +! (ខ្ល -|- នរ? 2) (08 2 -- %27 -- 1.

ឈុ 22 8ឃះ
2 (2? -|- នរំ? 2) (08 2 - %/25 -|- 1)

-- 1
= ៤ --------- 7
+ (082 -- %/2? -- 1",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

4 4
= ៤ ខយ 2 + 02 -- 2

+ 1 -- #២22
$$L = \lim _ { x \to \frac { \pi } { 4 } } \frac { \tan ^ { 4 } x + \cot ^ { 4 } x - 2 } { 1 - \sin 2 x }$$",33,31,64,32,32,"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន

. (002 ខែា?2)៖

= ]រា អ

2 (082 -- 1 2)”
(1 -- ខោ

យា រ 2 ក
: ខៅ 2 (0#” 2(1 -- ខោ2)”

(1 -- ខោ2)?(1 -|- ខែ 2)? (1 -|- ខោ? 2)

ខោ 2 005” 2(1 -- ខោ2)*

រា

. (1+ខេោា2)?(1- ខេ:
រា

ដី ខោ 2 005” 2",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

2 -- 0082
1, =]

+ 1 -- ‹/ខែា2
L = \lim_{x \to \frac{\pi}{4}} \frac{\sin x - \cos x}{1 - \sqrt[3]{\tan x}}",-\frac{3\sqrt{2}}{2},-\frac{4\sqrt{2}}{2},-\frac{2\sqrt{2}}{2},\frac{3\sqrt{2}}{2},-\frac{3\sqrt{2}}{2},"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន
ក នរំ 2 -- 005 2
2» 1--+/ខោ2
082(ខេោា 2 -- 1)[1 - ‹/ខោ2 - ខេ 2)
=]
យ 7

= -- (082 -- ខែ: - ។/ យោ 2)

= រ៉",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

1 - 881
ន ន 4005? 2 -- 3
$$L = \lim _ { x \rightarrow \frac { \pi } { 6 } } \frac { 1 - 8 \sin ^ { 3 } x } { 4 \cos ^ { 2 } x - 3 }$$",\frac{4}{2},\frac{3}{2},\frac{2}{2},-\frac{3}{2},\frac{3}{2},"កី 1 - 2#រា2 - 48 2
= ២ ----។---ៗ-
ខ្ញុំ 1282

_ 111
11

ស! យ",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

›4 _ រា
ុ 24 -- #រា 2
1, =]

+ 2? - 1 -- 0082
L = \lim_{x \to 0} \frac{x^4 - \sin^4 x}{\sqrt{x^2 + 1} - \cos x}",1,-1,0,2,0,"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន

ុ 24 -- នរ 2
រ

2 + 25 -- 1 -- 0082

ង [22 នរំ? 2) 22 -- នរំ? 2) (1 -- 25 -- 008 2)
= យា

2- + 25 -។ 1 -- 008 2

យ 2 -|- នរ 2) (2 -- 8? 2) (1 ៗ 25 -|- 0082)

-%0 25 5 2
= ឃុំ 2? -- ន? 2) %/ 1 -+ 2? -- 052)
+»

= 0",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

ុ 00832 - នាវ 2
1, = ២ -- ៗ”
2-+រ  1--ខោ2
$$L = \lim _ { x \to \frac { \pi } { 4 } } \frac { \cos ^ { 3 } x - \sin ^ { 3 } x } { 1 - \tan ^ { 2 } x }$$",\frac{4\sqrt{2}}{8},\frac{2\sqrt{2}}{8},-\frac{3\sqrt{2}}{8},\frac{3\sqrt{2}}{8},\frac{3\sqrt{2}}{8},"0
លីមីតមានរាងមិនកំណត់ 0

យើងបាន

083 2(1 -- ខោ 2)

1 -- យៅ2

= រា

ុ  008$2(1 -- ខោ2)(1 - ខែល2 -រ ខៅ 2)
រា
- +. (1 -- ខោ2)(1 - ខោ2)
ុ  (0082(1-ខែោា2 - ខៅ 2)
រា

1 ។ ខោ2",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖
$$L = \lim _ { x \to \frac { \pi } { 3 } } \frac { 3 - 4 \sin ^ { 2 } x } { 2 \cos x - 1 }$$",2,3,1,4,2,"ក
0

លីមីតមានរាងមិនកំណត់
យើងបាន
: 3- 482
រា

= ២ (20082 - 1)

ខុំ

=1-។1=2",multiple_choice
"គណនាលីមីតនៃអនុគមន៍ខាងក្រោម៖

4 008? 2 -- 3
+ 1--28រា2

1, = យា
L = \lim_{x \to \frac{\pi}{6}} \frac{4 \cos^2 x - 3}{1 - 2 \sin x}",3,2,1,4,2,"ស
0

លីមីតមានរាងមិនកំណត់
យើងបាន
400822-3
រ

= ២ (1 + 282)

=1-។1=2",multiple_choice
